"from","to","id","rel_pos","confidence"
"9606.ENSP00000284073","9606.ENSP00000247219","b57b2c43-eade-11eb-ac79-0130365d7bd6",52.73,150
"9606.ENSP00000326272","9606.ENSP00000247219","b57d4dc8-eade-11eb-ac79-0130365d7bd6",20.06,524
"9606.ENSP00000338624","9606.ENSP00000247219","b57de98f-eade-11eb-ac79-0130365d7bd6",15.16,250
"9606.ENSP00000369784","9606.ENSP00000247219","b58142ac-eade-11eb-ac79-0130365d7bd6",94.21,175
"9606.ENSP00000443017","9606.ENSP00000247219","b5844dd0-eade-11eb-ac79-0130365d7bd6",29.42,164
"9606.ENSP00000293771","9606.ENSP00000352463","b58b027b-eade-11eb-ac79-0130365d7bd6",18.76,174
"9606.ENSP00000303148","9606.ENSP00000352463","b58c3a4c-eade-11eb-ac79-0130365d7bd6",93.79,323
"9606.ENSP00000369784","9606.ENSP00000352463","b595d092-eade-11eb-ac79-0130365d7bd6",90.58,184
"9606.ENSP00000370288","9606.ENSP00000352463","b595f775-eade-11eb-ac79-0130365d7bd6",24.33,229
"9606.ENSP00000381577","9606.ENSP00000352463","b597c86b-eade-11eb-ac79-0130365d7bd6",23.97,153
"9606.ENSP00000384109","9606.ENSP00000352463","b598166a-eade-11eb-ac79-0130365d7bd6",57.98,205
"9606.ENSP00000443017","9606.ENSP00000352463","b59c3242-eade-11eb-ac79-0130365d7bd6",94.89,243
"9606.ENSP00000305810","9606.ENSP00000364864","b5abba89-eade-11eb-ac79-0130365d7bd6",99.22,900
"9606.ENSP00000311273","9606.ENSP00000364864","b5ac2f63-eade-11eb-ac79-0130365d7bd6",19.69,207
"9606.ENSP00000362121","9606.ENSP00000364864","b5b04b4c-eade-11eb-ac79-0130365d7bd6",36.47,978
"9606.ENSP00000366487","9606.ENSP00000364864","b5b0c00f-eade-11eb-ac79-0130365d7bd6",28.81,302
"9606.ENSP00000369784","9606.ENSP00000364864","b5b1350d-eade-11eb-ac79-0130365d7bd6",38,208
"9606.ENSP00000382379","9606.ENSP00000364864","b5b26c9e-eade-11eb-ac79-0130365d7bd6",6.83,188
"9606.ENSP00000284073","9606.ENSP00000326272","b5b8a788-eade-11eb-ac79-0130365d7bd6",51.17,173
"9606.ENSP00000337354","9606.ENSP00000326272","b5bb16e2-eade-11eb-ac79-0130365d7bd6",2.53,166
"9606.ENSP00000354152","9606.ENSP00000326272","b5bc29cb-eade-11eb-ac79-0130365d7bd6",44.59,677
"9606.ENSP00000362390","9606.ENSP00000326272","b5bd5f31-eade-11eb-ac79-0130365d7bd6",60.26,381
"9606.ENSP00000401678","9606.ENSP00000326272","b5bf5c13-eade-11eb-ac79-0130365d7bd6",9.65,233
"9606.ENSP00000317300","9606.ENSP00000254878","b5c4ad83-eade-11eb-ac79-0130365d7bd6",23.79,182
"9606.ENSP00000350928","9606.ENSP00000254878","b5c632d6-eade-11eb-ac79-0130365d7bd6",40.84,170
"9606.ENSP00000354152","9606.ENSP00000254878","b5c65bb2-eade-11eb-ac79-0130365d7bd6",22.52,157
"9606.ENSP00000366487","9606.ENSP00000254878","b5c7baa6-eade-11eb-ac79-0130365d7bd6",99.11,185
"9606.ENSP00000310901","9606.ENSP00000382379","b5d17835-eade-11eb-ac79-0130365d7bd6",6.37,152
"9606.ENSP00000350386","9606.ENSP00000382379","b5d3e6a0-eade-11eb-ac79-0130365d7bd6",47.87,382
"9606.ENSP00000366487","9606.ENSP00000382379","b5d60656-eade-11eb-ac79-0130365d7bd6",29.66,175
"9606.ENSP00000369784","9606.ENSP00000382379","b5d6545d-eade-11eb-ac79-0130365d7bd6",95.34,183
"9606.ENSP00000381577","9606.ENSP00000382379","b5d78c0c-eade-11eb-ac79-0130365d7bd6",10.92,203
"9606.ENSP00000384109","9606.ENSP00000382379","b5d7b2ff-eade-11eb-ac79-0130365d7bd6",60.6,200
"9606.ENSP00000385852","9606.ENSP00000382379","b5d7d9f2-eade-11eb-ac79-0130365d7bd6",61.91,160
"9606.ENSP00000479060","9606.ENSP00000382379","b5db32ec-eade-11eb-ac79-0130365d7bd6",73.8,398
"9606.ENSP00000363371","9606.ENSP00000341597","b5dda25a-eade-11eb-ac79-0130365d7bd6",13.15,900
"9606.ENSP00000366487","9606.ENSP00000341597","b5ddcaeb-eade-11eb-ac79-0130365d7bd6",1.36,154
"9606.ENSP00000305810","9606.ENSP00000434412","b5e31ec5-eade-11eb-ac79-0130365d7bd6",69.48,199
"9606.ENSP00000361064","9606.ENSP00000434412","b5e69f60-eade-11eb-ac79-0130365d7bd6",17.1,238
"9606.ENSP00000380150","9606.ENSP00000319060","b5f6992f-eade-11eb-ac79-0130365d7bd6",87.49,283
"9606.ENSP00000310901","9606.ENSP00000401678","b5fdc10c-eade-11eb-ac79-0130365d7bd6",19.42,271
"9606.ENSP00000363377","9606.ENSP00000401678","b600a31e-eade-11eb-ac79-0130365d7bd6",39.57,664
"9606.ENSP00000443017","9606.ENSP00000401678","b6036281-eade-11eb-ac79-0130365d7bd6",17.57,211
"9606.ENSP00000362390","9606.ENSP00000366267","b60a600c-eade-11eb-ac79-0130365d7bd6",80.95,169
"9606.ENSP00000407193","9606.ENSP00000366267","b60c3398-eade-11eb-ac79-0130365d7bd6",54.09,354
"9606.ENSP00000293771","9606.ENSP00000338785","b61530a2-eade-11eb-ac79-0130365d7bd6",70.54,201
"9606.ENSP00000303550","9606.ENSP00000338785","b6157c06-eade-11eb-ac79-0130365d7bd6",2.7,154
"9606.ENSP00000305810","9606.ENSP00000223369","b62025ca-eade-11eb-ac79-0130365d7bd6",86.55,948
"9606.ENSP00000366487","9606.ENSP00000223369","b6252ba9-eade-11eb-ac79-0130365d7bd6",20.88,271
"9606.ENSP00000443017","9606.ENSP00000223369","b628cfb9-eade-11eb-ac79-0130365d7bd6",85.6,242
"9606.ENSP00000384109","9606.ENSP00000381577","b6360fc6-eade-11eb-ac79-0130365d7bd6",5.72,168
"9606.ENSP00000461386","9606.ENSP00000381577","b6387ef2-eade-11eb-ac79-0130365d7bd6",33.07,151
"9606.ENSP00000369784","9606.ENSP00000311273","b640183d-eade-11eb-ac79-0130365d7bd6",39.27,222
"9606.ENSP00000390232","9606.ENSP00000311273","b6417978-eade-11eb-ac79-0130365d7bd6",84.99,192
"9606.ENSP00000443017","9606.ENSP00000311273","b642b03b-eade-11eb-ac79-0130365d7bd6",40.7,164
"9606.ENSP00000303149","9606.ENSP00000369784","b64ce0db-eade-11eb-ac79-0130365d7bd6",82.51,169
"9606.ENSP00000366487","9606.ENSP00000369784","b6531e08-eade-11eb-ac79-0130365d7bd6",76.33,168
"9606.ENSP00000406026","9606.ENSP00000369784","b6562930-eade-11eb-ac79-0130365d7bd6",37.78,156
"9606.ENSP00000336800","9606.ENSP00000259939","b65c3f85-eade-11eb-ac79-0130365d7bd6",39.63,902
"9606.ENSP00000366487","9606.ENSP00000259939","b65dec11-eade-11eb-ac79-0130365d7bd6",30.88,205
"9606.ENSP00000223366","9606.ENSP00000385852","b6678275-eade-11eb-ac79-0130365d7bd6",61.64,173
"9606.ENSP00000479060","9606.ENSP00000385852","b671b76a-eade-11eb-ac79-0130365d7bd6",92.98,309
"9606.ENSP00000363377","9606.ENSP00000223366","b67de156-eade-11eb-ac79-0130365d7bd6",17.47,154
"9606.ENSP00000380153","9606.ENSP00000223366","b68002ca-eade-11eb-ac79-0130365d7bd6",29.32,330
"9606.ENSP00000305810","9606.ENSP00000369500","b6852f5e-eade-11eb-ac79-0130365d7bd6",48.73,347
"9606.ENSP00000384109","9606.ENSP00000369500","b686dbed-eade-11eb-ac79-0130365d7bd6",52.53,174
"9606.ENSP00000380153","9606.ENSP00000431748","b6899929-eade-11eb-ac79-0130365d7bd6",35.56,388
"9606.ENSP00000284073","9606.ENSP00000340176","b68be189-eade-11eb-ac79-0130365d7bd6",76.99,303
"9606.ENSP00000339095","9606.ENSP00000340176","b68d8e0a-eade-11eb-ac79-0130365d7bd6",68.18,383
"9606.ENSP00000362395","9606.ENSP00000340176","b68ec5ca-eade-11eb-ac79-0130365d7bd6",70.97,162
"9606.ENSP00000359478","9606.ENSP00000297508","b69613ae-eade-11eb-ac79-0130365d7bd6",3.12,208
"9606.ENSP00000303147","9606.ENSP00000317300","b6a1800f-eade-11eb-ac79-0130365d7bd6",47.95,176
"9606.ENSP00000361287","9606.ENSP00000317300","b6a26a11-eade-11eb-ac79-0130365d7bd6",43.37,175
"9606.ENSP00000305810","9606.ENSP00000310901","b6a748b7-eade-11eb-ac79-0130365d7bd6",6.42,232
"9606.ENSP00000359478","9606.ENSP00000310901","b6a9ded8-eade-11eb-ac79-0130365d7bd6",81.97,186
"9606.ENSP00000366487","9606.ENSP00000312442","b6bc7019-eade-11eb-ac79-0130365d7bd6",45.02,359
"9606.ENSP00000407193","9606.ENSP00000312442","b6bdf54b-eade-11eb-ac79-0130365d7bd6",53.82,215
"9606.ENSP00000303147","9606.ENSP00000443017","b6c73dd0-eade-11eb-ac79-0130365d7bd6",81.68,356
"9606.ENSP00000350928","9606.ENSP00000443017","b6cd2d0e-eade-11eb-ac79-0130365d7bd6",34.02,185
"9606.ENSP00000361287","9606.ENSP00000443017","b6cf9c56-eade-11eb-ac79-0130365d7bd6",77.12,279
"9606.ENSP00000363377","9606.ENSP00000443017","b6d03848-eade-11eb-ac79-0130365d7bd6",19.52,236
"9606.ENSP00000384109","9606.ENSP00000443017","b6d4542c-eade-11eb-ac79-0130365d7bd6",24.95,252
"9606.ENSP00000380150","9606.ENSP00000305810","b6e759cf-eade-11eb-ac79-0130365d7bd6",16.8,170
"9606.ENSP00000384109","9606.ENSP00000461386","b6ec8586-eade-11eb-ac79-0130365d7bd6",16.74,311
"9606.ENSP00000380150","9606.ENSP00000363371","b6f46dda-eade-11eb-ac79-0130365d7bd6",85.43,173
"9606.ENSP00000407193","9606.ENSP00000363371","b6f4bbcb-eade-11eb-ac79-0130365d7bd6",0.74,161
"9606.ENSP00000361287","9606.ENSP00000359478","b6fe06c1-eade-11eb-ac79-0130365d7bd6",92.25,193
"9606.ENSP00000384109","9606.ENSP00000359478","b7000124-eade-11eb-ac79-0130365d7bd6",91.48,159
"9606.ENSP00000293771","9606.ENSP00000363377","b70c06fb-eade-11eb-ac79-0130365d7bd6",8.49,211
"9606.ENSP00000339095","9606.ENSP00000284073","b71b65df-eade-11eb-ac79-0130365d7bd6",58.95,207
"9606.ENSP00000303147","9606.ENSP00000354152","b727e04c-eade-11eb-ac79-0130365d7bd6",23.28,193
"9606.ENSP00000361287","9606.ENSP00000354152","b7291891-eade-11eb-ac79-0130365d7bd6",55.62,193
"9606.ENSP00000293778","9606.ENSP00000253673","b72c982d-eade-11eb-ac79-0130365d7bd6",10.69,152
"9606.ENSP00000355402","9606.ENSP00000253673","b72eb6e8-eade-11eb-ac79-0130365d7bd6",26.05,179
"9606.ENSP00000250111","9606.ENSP00000359474","b7326060-eade-11eb-ac79-0130365d7bd6",25.46,175
"9606.ENSP00000339095","9606.ENSP00000359474","b73652c1-eade-11eb-ac79-0130365d7bd6",34.54,163
"9606.ENSP00000350928","9606.ENSP00000359474","b736ee8e-eade-11eb-ac79-0130365d7bd6",62.78,209
"9606.ENSP00000303147","9606.ENSP00000339095","b741e653-eade-11eb-ac79-0130365d7bd6",54.51,170
"9606.ENSP00000264670","9606.ENSP00000303147","b759a33b-eade-11eb-ac79-0130365d7bd6",17.8,175
"9606.ENSP00000350386","9606.ENSP00000303147","b75fe0eb-eade-11eb-ac79-0130365d7bd6",86.36,165
"9606.ENSP00000361287","9606.ENSP00000303147","b761db5c-eade-11eb-ac79-0130365d7bd6",72.62,988
"9606.ENSP00000380150","9606.ENSP00000303147","b764bf90-eade-11eb-ac79-0130365d7bd6",29.2,252
"9606.ENSP00000361287","9606.ENSP00000264670","b788a9e0-eade-11eb-ac79-0130365d7bd6",28.84,162
"9606.ENSP00000366487","9606.ENSP00000350386","b7a2862e-eade-11eb-ac79-0130365d7bd6",21.78,220
"9606.ENSP00000250111","9606.ENSP00000350928","b7a84ea5-eade-11eb-ac79-0130365d7bd6",98.48,152
"9606.ENSP00000384109","9606.ENSP00000336800","b7c25493-eade-11eb-ac79-0130365d7bd6",63.75,283
"9606.ENSP00000366482","9606.ENSP00000361287","b7d0f082-eade-11eb-ac79-0130365d7bd6",73.6,218
"9606.ENSP00000380150","9606.ENSP00000361287","b7d2c3dc-eade-11eb-ac79-0130365d7bd6",66.8,191
"9606.ENSP00000355156","9606.ENSP00000293778","b7dd1e75-eade-11eb-ac79-0130365d7bd6",44.68,900
"9606.ENSP00000380150","9606.ENSP00000355157","b7eb1d61-eade-11eb-ac79-0130365d7bd6",3.22,203
"9606.ENSP00000250111","9606.ENSP00000362395","b80c4a34-eade-11eb-ac79-0130365d7bd6",40.7,222
"9606.ENSP00000362390","9606.ENSP00000362395","b80e9286-eade-11eb-ac79-0130365d7bd6",66.63,288
"9606.ENSP00000366487","9606.ENSP00000362395","b80ee076-eade-11eb-ac79-0130365d7bd6",77.45,256
"9606.ENSP00000337354","9606.ENSP00000337425","b81a234b-eade-11eb-ac79-0130365d7bd6",66.59,241
